AnimalID,UFID_Corrected,YEAR,hcw,Marbling,WBSF,CG,Ranch,LOT,RanchLOT
10075,N10075,2017,866,510,4.658235,0,Ranch5,_7556,Ranch5_7556
10076,N10076,2017,889,540,4.79111,25,Ranch6,_7556,Ranch6_7556
10077,N10077,2017,749,580,4.539179,25,Ranch6,_7556,Ranch6_7556
10078,N10078,2017,778,620,5.039852,0,STOFI-Bright,_7556,STOFI-Bright_7556
10079,N10079,2017,881,710,4.612526,25,Ranch6,_7556,Ranch6_7556
10080,N10080,2017,933,740,4.577447,25,Ranch6,_7556,Ranch6_7556
10081,N10081,2017,781,610,4.863394,25,Ranch6,_7556,Ranch6_7556
10082,N10082,2017,944,380,4.976072,25,Ranch6,_7556,Ranch6_7556
10083,N10083,2017,952,850,4.7167,25,Ranch6,_7556,Ranch6_7556
10084,N10084,2017,867,390,4.056577,25,Ranch6,_7556,Ranch6_7556
10085,N10085,2017,989,420,5.077057,25,Ranch6,_7556,Ranch6_7556
10086,N10086,2017,831,410,4.645479,25,Ranch6,_7556,Ranch6_7556
10087,N10087,2017,820,480,4.731582,34,STOFI-StThom,_7596,STOFI-StThom_7596
10088,N10088,2017,899,490,5.105758,25,Ranch6,_7556,Ranch6_7556
10089,N10089,2017,952,610,6.090096,25,Ranch6,_7556,Ranch6_7556
10090,N10090,2017,810,810,4.196893,25,Ranch6,_7556,Ranch6_7556
10091,N10091,2017,839,380,4.702881,0,STOFI-Bright,_7556,STOFI-Bright_7556
10092,N10092,2017,872,610,4.413745,25,Ranch6,_7556,Ranch6_7556
10093,N10093,2017,769,430,4.754968,25,Ranch6,_7556,Ranch6_7556
10094,N10094,2017,857,480,4.226657,25,Ranch6,_7556,Ranch6_7556
10095,N10095,2017,808,480,4.409493,25,Ranch6,_7556,Ranch6_7556
10096,N10096,2017,875,370,5.080246,12,Ranch17,_F7,Ranch17_F7
10097,N10097,2017,898,370,4.151184,25,Ranch6,_7556,Ranch6_7556
10098,N10098,2017,,490,4.499848,12,Ranch17,_F7,Ranch17_F7
10099,N10099,2017,825,410,4.729456,25,Ranch6,_7556,Ranch6_7556
10100,N10100,2017,973,430,5.369382,25,Ranch6,_7556,Ranch6_7556
10101,N10101,2017,880,410,4.568943,12,Ranch17,_F7,Ranch17_F7
10102,N10102,2017,923,320,5.236507,25,Ranch6,_7556,Ranch6_7556
10103,N10103,2017,843,590,4.147995,0,STOFI-Bright,_7556,STOFI-Bright_7556
10104,N10104,2017,925,420,4.257484,25,Ranch6,_7556,Ranch6_7556
10105,N10105,2017,818,380,4.294689,25,Ranch6,_7556,Ranch6_7556
10106,N10106,2017,781,420,4.234098,25,Ranch6,_7556,Ranch6_7556
20001,N20001,2017,935,510,5.495879,9,Ranch14,_7596,Ranch14_7596
20002,N20002,2017,808,510,4.668865,15,Ranch2,_7596,Ranch2_7596
20003,N20003,2017,836,380,6.085844,15,Ranch2,_7596,Ranch2_7596
20004,N20004,2017,653,410,3.854607,15,Ranch2,_7596,Ranch2_7596
20005,N20005,2017,783,410,4.204334,15,Ranch2,_7596,Ranch2_7596
20006,N20006,2017,831,570,4.568943,15,Ranch2,_7596,Ranch2_7596
20007,N20007,2017,753,560,3.797205,34,STOFI-StThom,_7596,STOFI-StThom_7596
20008,N20008,2017,829,420,4.793236,9,Ranch14,_7596,Ranch14_7596
20009,N20009,2017,798,560,7.591052,15,Ranch2,_7596,Ranch2_7596
20010,N20010,2017,781,390,5.00371,0,STOFI-Parker,_7596,STOFI-Parker_7596
20011,N20011,2017,727,410,3.227437,23,Ranch5,_7596,Ranch5_7596
20012,N20012,2017,773,490,5.305602,9,Ranch14,_7596,Ranch14_7596
20013,N20013,2017,898,520,3.029719,34,STOFI-StThom,_7596,STOFI-StThom_7596
20014,N20014,2017,864,480,4.898473,34,STOFI-StThom,_7596,STOFI-StThom_7596
20015,N20015,2017,816,380,5.628754,34,STOFI-StThom,_7596,STOFI-StThom_7596
20016,N20016,2017,777,370,7.591052,15,Ranch2,_7596,Ranch2_7596
20017,N20017,2017,857,380,3.601613,15,Ranch2,_7596,Ranch2_7596
20018,N20018,2017,813,580,5.906197,34,STOFI-StThom,_7596,STOFI-StThom_7596
20019,N20019,2017,860,310,3.257201,0,Ranch5,_7586,Ranch5_7586
20020,N20020,2017,691,360,3.851418,15,Ranch2,_7596,Ranch2_7596
20021,N20021,2017,751,360,4.41906,34,STOFI-StThom,_7596,STOFI-StThom_7596
20022,N20022,2017,720,390,3.815276,34,STOFI-StThom,_7596,STOFI-StThom_7596
20023,N20023,2017,820,430,3.88756,23,Ranch5,_7596,Ranch5_7596
20024,N20024,2017,793,410,4.152247,34,STOFI-StThom,_7596,STOFI-StThom_7596
20025,N20025,2017,769,420,3.4411,0,STOFI-Parker,_7596,STOFI-Parker_7596
20026,N20026,2017,813,430,4.191578,15,Ranch2,_7596,Ranch2_7596
20027,N20027,2017,809,370,3.47299,34,STOFI-StThom,_7596,STOFI-StThom_7596
20028,N20028,2017,801,380,6.829944,23,Ranch5,_7596,Ranch5_7596
20029,N20029,2017,728,370,5.309854,15,Ranch2,_7596,Ranch2_7596
20030,N20030,2017,788,360,4.628471,15,Ranch2,_7596,Ranch2_7596
20031,N20031,2017,843,430,4.745401,34,STOFI-StThom,_7596,STOFI-StThom_7596
20032,N20032,2017,831,420,4.204334,9,Ranch14,_7596,Ranch14_7596
20033,N20033,2017,863,510,3.711102,34,STOFI-StThom,_7596,STOFI-StThom_7596
20034,N20034,2017,889,450,4.906977,15,Ranch2,_7596,Ranch2_7596
20035,N20035,2017,794,390,3.872678,23,Ranch5,_7596,Ranch5_7596
20036,N20036,2017,887,360,5.260956,9,Ranch14,_7596,Ranch14_7596
20037,N20037,2017,791,440,5.389579,34,STOFI-StThom,_7596,STOFI-StThom_7596
20038,N20038,2017,846,410,5.176979,11,Ranch17,_7126,Ranch17_7126
20039,N20039,2017,872,290,6.04545,11,Ranch17,_7126,Ranch17_7126
20040,N20040,2017,800,310,3.362438,0,Ranch1,_7126,Ranch1_7126
20041,N20041,2017,779,340,9.78721,11,Ranch17,_7126,Ranch17_7126
20042,N20042,2017,843,310,4.065081,0,Ranch1,_7126,Ranch1_7126
20043,N20043,2017,935,360,4.409493,11,Ranch17,_7126,Ranch17_7126
20044,N20044,2017,930,440,3.376257,11,Ranch17,_7126,Ranch17_7126
20045,N20045,2017,736,320,4.039569,11,Ranch17,_7126,Ranch17_7126
20046,N20046,2017,726,320,4.922922,11,Ranch17,_7126,Ranch17_7126
20047,N20047,2017,1019,430,4.0789,11,Ranch17,_7126,Ranch17_7126
20048,N20048,2017,765,380,4.901662,11,Ranch17,_7126,Ranch17_7126
20049,N20049,2017,813,480,3.449604,11,Ranch17,_7126,Ranch17_7126
20050,N20050,2017,820,380,3.486809,11,Ranch17,_7126,Ranch17_7126
20051,N20051,2017,899,510,5.581982,11,Ranch17,_7126,Ranch17_7126
20052,N20052,2017,916,340,4.46158,11,Ranch17,_7126,Ranch17_7126
20053,N20053,2017,851,430,5.97104,11,Ranch17,_7126,Ranch17_7126
20054,N20054,2017,757,360,4.611463,11,Ranch17,_7126,Ranch17_7126
20055,N20055,2017,978,710,7.290223,11,Ranch17,_7126,Ranch17_7126
20056,N20056,2017,752,550,3.952403,11,Ranch17,_7126,Ranch17_7126
20057,N20057,2017,769,380,5.096191,11,Ranch17,_7126,Ranch17_7126
20058,N20058,2017,1001,380,3.925828,11,Ranch17,_7126,Ranch17_7126
20059,N20059,2017,848,320,5.591549,11,Ranch17,_7126,Ranch17_7126
20060,N20060,2017,826,420,3.05842,11,Ranch17,_7126,Ranch17_7126
20061,N20061,2017,926,380,3.114759,11,Ranch17,_7126,Ranch17_7126
20062,N20062,2017,958,420,5.154656,11,Ranch17,_7126,Ranch17_7126
20063,N20063,2017,779,430,5.040915,11,Ranch17,_7126,Ranch17_7126
20064,N20064,2017,882,510,6.384547,11,Ranch17,_7126,Ranch17_7126
20065,N20065,2017,992,520,4.736897,11,Ranch17,_7126,Ranch17_7126
20066,N20066,2017,963,390,6.905417,11,Ranch17,_7126,Ranch17_7126
20067,N20067,2017,797,580,4.582762,11,Ranch17,_7126,Ranch17_7126
20068,N20068,2017,769,640,2.751213,11,Ranch17,_7126,Ranch17_7126
20069,N20069,2017,828,390,6.616281,0,Ranch1,_7126,Ranch1_7126
20070,N20070,2017,929,390,5.924268,11,Ranch17,_7126,Ranch17_7126
20071,N20071,2017,779,410,3.210429,11,Ranch17,_7126,Ranch17_7126
20072,N20072,2017,821,430,3.306099,11,Ranch17,_7126,Ranch17_7126
20073,N20073,2017,802,430,3.227437,11,Ranch17,_7126,Ranch17_7126
20074,N20074,2017,809,560,5.039852,11,Ranch17,_7126,Ranch17_7126
20075,N20075,2017,827,380,5.642573,6,Ranch12,_7626,Ranch12_7626
20076,N20076,2017,834,380,4.298941,4,Ranch11,_7606,Ranch11_7606
20077,N20077,2017,899,280,4.634849,17,Ranch2,_7626,Ranch2_7626
20078,N20078,2017,917,480,3.194484,16,Ranch2,_7606,Ranch2_7606
20079,N20079,2017,839,390,5.039852,5,Ranch12,_7606,Ranch12_7606
20080,N20080,2017,798,410,4.970757,5,Ranch12,_7606,Ranch12_7606
20081,N20081,2017,979,390,6.625848,17,Ranch2,_7626,Ranch2_7626
20082,N20082,2017,758,410,3.189169,16,Ranch2,_7606,Ranch2_7606
20083,N20083,2017,833,390,4.425438,4,Ranch11,_7606,Ranch11_7606
20084,N20084,2017,839,380,4.442446,17,Ranch2,_7626,Ranch2_7626
20085,N20085,2017,811,420,3.727047,34,STOFI-StThom,_7596,STOFI-StThom_7596
20086,N20086,2017,893,420,4.537053,5,Ranch12,_7606,Ranch12_7606
20087,N20087,2017,827,380,5.703164,17,Ranch2,_7626,Ranch2_7626
20088,N20088,2017,750,390,4.405241,5,Ranch12,_7606,Ranch12_7606
20089,N20089,2017,898,450,3.8663,5,Ranch12,_7606,Ranch12_7606
20090,N20090,2017,908,370,6.005056,5,Ranch12,_7606,Ranch12_7606
20091,N20091,2017,924,470,6.005056,16,Ranch2,_7606,Ranch2_7606
20092,N20092,2017,862,380,3.830158,3,Ranch11,_7586,Ranch11_7586
20093,N20093,2017,820,390,4.236224,5,Ranch12,_7606,Ranch12_7606
20094,N20094,2017,996,510,4.866583,6,Ranch12,_7626,Ranch12_7626
20095,N20095,2017,841,390,4.230909,24,Ranch5,_7606,Ranch5_7606
20096,N20096,2017,777,340,2.850072,24,Ranch5,_7606,Ranch5_7606
20097,N20097,2017,801,340,4.51473,6,Ranch12,_7626,Ranch12_7626
20098,N20098,2017,884,410,5.980607,17,Ranch2,_7626,Ranch2_7626
20099,N20099,2017,910,690,3.106255,36,Ranch14,_7606,Ranch14_7606
20100,N20100,2017,1080,420,4.538116,36,Ranch14,_7606,Ranch14_7606
20101,N20101,2017,843,440,3.650511,4,Ranch11,_7606,Ranch11_7606
20102,N20102,2017,894,460,4.724141,5,Ranch12,_7606,Ranch12_7606
20103,N20103,2017,885,430,3.258264,0,Ranch11,_7626,Ranch11_7626
20104,N20104,2017,860,220,4.460517,17,Ranch2,_7626,Ranch2_7626
20105,N20105,2017,811,390,3.279524,17,Ranch2,_7626,Ranch2_7626
20106,N20106,2017,889,620,5.804149,16,Ranch2,_7606,Ranch2_7606
20107,N20107,2017,810,390,5.165286,17,Ranch2,_7626,Ranch2_7626
20108,N20108,2017,1019,420,4.476462,5,Ranch12,_7606,Ranch12_7606
20110,N20110,2017,,,3.03716,6,Ranch12,_7626,Ranch12_7626
20111,N20111,2017,,,5.28009,6,Ranch12,_7626,Ranch12_7626
30001,N30001,2017,898,410,4.304256,16,Ranch2,_7606,Ranch2_7606
30002,N30002,2017,866,430,4.964379,28,STOFI-Bright,_7186,STOFI-Bright_7186
30003,N30003,2017,762,390,5.781826,28,STOFI-Bright,_7186,STOFI-Bright_7186
30004,N30004,2017,841,290,5.180168,28,STOFI-Bright,_7186,STOFI-Bright_7186
30005,N30005,2017,895,450,5.728676,28,STOFI-Bright,_7186,STOFI-Bright_7186
30006,N30006,2017,757,420,4.975009,28,STOFI-Bright,_7186,STOFI-Bright_7186
30007,N30007,2017,799,310,4.781543,19,Ranch3,_7186,Ranch3_7186
30008,N30008,2017,816,510,6.457894,28,STOFI-Bright,_7186,STOFI-Bright_7186
30009,N30009,2017,746,380,5.986985,28,STOFI-Bright,_7186,STOFI-Bright_7186
30010,N30010,2017,847,410,5.754188,19,Ranch3,_7186,Ranch3_7186
30011,N30011,2017,894,380,5.564974,28,STOFI-Bright,_7186,STOFI-Bright_7186
30012,N30012,2017,846,410,6.135805,28,STOFI-Bright,_7186,STOFI-Bright_7186
30013,N30013,2017,833,510,3.34543,28,STOFI-Bright,_7186,STOFI-Bright_7186
30014,N30014,2017,851,580,5.401272,28,STOFI-Bright,_7186,STOFI-Bright_7186
30015,N30015,2017,929,290,5.961473,0,Ranch2,_7186,Ranch2_7186
30016,N30016,2017,745,410,7.909952,19,Ranch3,_7186,Ranch3_7186
30017,N30017,2017,836,410,6.692817,28,STOFI-Bright,_7186,STOFI-Bright_7186
30018,N30018,2017,863,420,4.616778,19,Ranch3,_7186,Ranch3_7186
30019,N30019,2017,795,480,5.72655,28,STOFI-Bright,_7186,STOFI-Bright_7186
30020,N30020,2017,846,570,4.269177,28,STOFI-Bright,_7186,STOFI-Bright_7186
30021,N30021,2017,795,270,4.407367,19,Ranch3,_7186,Ranch3_7186
30022,N30022,2017,851,390,4.770913,28,STOFI-Bright,_7186,STOFI-Bright_7186
30023,N30023,2017,816,450,4.863394,0,Ranch6,_7186,Ranch6_7186
30024,N30024,2017,903,610,3.944962,28,STOFI-Bright,_7186,STOFI-Bright_7186
30025,N30025,2017,838,430,4.197956,28,STOFI-Bright,_7186,STOFI-Bright_7186
30026,N30026,2017,909,510,4.87615,28,STOFI-Bright,_7186,STOFI-Bright_7186
30027,N30027,2017,866,510,4.176696,19,Ranch3,_7186,Ranch3_7186
30028,N30028,2017,937,380,,19,Ranch3,_7186,Ranch3_7186
30029,N30029,2017,845,510,,4,Ranch11,_7606,Ranch11_7606
30030,N30030,2017,805,380,4.795362,5,Ranch12,_7606,Ranch12_7606
30031,N30031,2017,845,390,4.935678,2,Ranch11,_7566,Ranch11_7566
30032,N30032,2017,807,340,7.192427,5,Ranch12,_7606,Ranch12_7606
30033,N30033,2017,949,380,6.373917,17,Ranch2,_7626,Ranch2_7626
30034,N30034,2017,767,380,4.328705,4,Ranch11,_7606,Ranch11_7606
30035,N30035,2017,899,340,6.408996,17,Ranch2,_7626,Ranch2_7626
30036,N30036,2017,841,380,5.764818,6,Ranch12,_7626,Ranch12_7626
30037,N30037,2017,839,410,5.121703,17,Ranch2,_7626,Ranch2_7626
30038,N30038,2017,808,440,7.886566,17,Ranch2,_7626,Ranch2_7626
30039,N30039,2017,791,420,4.888906,5,Ranch12,_7606,Ranch12_7606
30040,N30040,2017,888,390,4.901662,2,Ranch11,_7566,Ranch11_7566
30041,N30041,2017,867,370,6.825692,6,Ranch12,_7626,Ranch12_7626
30042,N30042,2017,891,340,5.804149,16,Ranch2,_7606,Ranch2_7606
30043,N30043,2017,837,390,4.792173,17,Ranch2,_7626,Ranch2_7626
