AnimalID,UFID_Corrected,YEAR,hcw,Marbling,WBSF,CG,Ranch,LOT,RanchLOT,PC1,PC2
2793,2793,2016,762,440,6.45,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00171192,0.0271364
2794,2794,2016,795,330,6.44,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.0167985,-0.055735
2801,2801,2016,826,300,7.47,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00429492,0.00872768
2809,2809,2016,914,390,6.22,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00405311,0.0343399
2814,2814,2016,751,380,5.2,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.000450961,0.0272069
2815,2815,2016,808,320,10.04,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00977517,-0.0156221
2818,2818,2016,783,550,6.72,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0114484,0.0782715
2822,2822,2016,817,380,5.07,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00931376,0.0249876
2827,2827,2016,718,520,-999,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00549606,0.0397782
2831,2831,2016,745,400,6.01,-999,STOFI-Bright,_7495,STOFI-Bright_7495,0.00173346,0.0283879
2834,2834,2016,702,420,4.7,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00174075,0.0248699
2836,2836,2016,753,340,4.49,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.000797969,0.0153634
2837,2837,2016,718,640,4.86,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.000410747,0.000744893
2843,2843,2016,808,520,4.22,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0111365,0.0533234
2853,2853,2016,805,380,5.15,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00454785,0.00503196
2860,2860,2016,765,440,6.32,-999,STOFI-Bright,_7495,STOFI-Bright_7495,0.00198912,0.0141263
2862,2862,2016,801,420,6.28,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00593136,0.0478892
2876,2876,2016,695,420,6.88,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00699577,0.044198
2883,2883,2016,666,470,6.27,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00230139,0.0172285
2893,2893,2016,701,370,6.65,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00288783,0.00485655
10001,N10001,2017,952,440,5.384264,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00215953,-0.0255034
10002,N10002,2017,891,390,7.02341,-999,Ranch5,_7586,Ranch5_7586,0.00147416,-0.0216951
10003,N10003,2017,958,320,4.455202,35,Ranch12,_7586,Ranch12_7586,0.00179481,-0.0269237
10004,N10004,2017,953,410,5.62025,-999,Ranch14,_7586,Ranch14_7586,0.00487911,0.0109932
10005,N10005,2017,849,510,5.87537,9,Ranch14,_7596,Ranch14_7596,-0.00475187,0.036073
10006,N10006,2017,724,410,4.317012,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0106102,0.00273726
10007,N10007,2017,844,410,-999,14,Ranch2,_7586,Ranch2_7586,-0.011786,-0.0173355
10008,N10008,2017,741,420,5.308791,15,Ranch2,_7596,Ranch2_7596,0.0159771,0.0492118
10009,N10009,2017,805,380,4.765598,3,Ranch11,_7586,Ranch11_7586,0.0140884,-0.0678559
10010,N10010,2017,874,420,4.965442,-999,STOFI-StThom,_7586,STOFI-StThom_7586,0.00762677,-0.0204706
10011,N10011,2017,756,380,6.11986,15,Ranch2,_7596,Ranch2_7596,0.0206958,0.0432989
10012,N10012,2017,718,370,4.390359,15,Ranch2,_7596,Ranch2_7596,-0.00208717,-0.00539088
10013,N10013,2017,862,410,4.602959,14,Ranch2,_7586,Ranch2_7586,-0.00642995,0.00693503
10014,N10014,2017,685,490,4.051262,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00695155,-0.027419
10015,N10015,2017,955,390,4.479651,-999,STOFI-StThom,_7586,STOFI-StThom_7586,-0.0127908,0.000905026
10016,N10016,2017,809,490,4.827252,9,Ranch14,_7596,Ranch14_7596,-0.00975984,-0.00433753
10017,N10017,2017,806,510,4.385044,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00190748,0.0112091
10018,N10018,2017,866,360,5.310917,35,Ranch12,_7586,Ranch12_7586,-0.000805473,-0.0291788
10019,N10019,2017,859,510,4.364847,35,Ranch12,_7586,Ranch12_7586,0.000425189,-0.0150774
10020,N10020,2017,886,480,4.48284,35,Ranch12,_7586,Ranch12_7586,-0.00326967,-0.0158614
10021,N10021,2017,896,350,3.981104,35,Ranch12,_7586,Ranch12_7586,-0.00617128,-0.0267256
10022,N10022,2017,765,480,4.383981,12,Ranch17,_F7,Ranch17_F7,-0.00445534,-0.0412943
10023,N10023,2017,856,390,5.304539,12,Ranch17,_F7,Ranch17_F7,-0.00924034,-0.0254221
10024,N10024,2017,918,410,4.271303,14,Ranch2,_7586,Ranch2_7586,0.00646205,-0.0139618
10025,N10025,2017,921,420,4.009805,12,Ranch17,_F7,Ranch17_F7,-0.00667939,-0.0227214
10026,N10026,2017,767,410,6.085844,12,Ranch17,_F7,Ranch17_F7,-0.00766407,-0.00281013
10027,N10027,2017,910,370,5.945528,12,Ranch17,_F7,Ranch17_F7,-0.00126464,-0.0206441
10028,N10028,2017,779,480,4.720952,12,Ranch17,_F7,Ranch17_F7,0.000701844,-0.0249291
10029,N10029,2017,845,390,3.912009,12,Ranch17,_F7,Ranch17_F7,-0.0104289,-0.0258235
10030,N10030,2017,735,520,5.005836,12,Ranch17,_F7,Ranch17_F7,-0.0107468,-0.00599602
10031,N10031,2017,881,450,5.967851,12,Ranch17,_F7,Ranch17_F7,-0.00813985,-0.0249486
10032,N10032,2017,742,380,4.681621,12,Ranch17,_F7,Ranch17_F7,-0.0107308,-0.0120934
10033,N10033,2017,779,360,4.730519,12,Ranch17,_F7,Ranch17_F7,-0.00886888,-0.00633535
10034,N10034,2017,825,410,5.07812,14,Ranch2,_7586,Ranch2_7586,-0.0146614,0.00152462
10035,N10035,2017,862,390,4.600833,35,Ranch12,_7586,Ranch12_7586,-0.00489733,-0.0239624
10036,N10036,2017,687,370,5.193987,12,Ranch17,_F7,Ranch17_F7,-0.00797058,-0.0266265
10037,N10037,2017,770,390,5.199302,12,Ranch17,_F7,Ranch17_F7,-0.0114888,-0.0282967
10038,N10038,2017,868,430,4.395674,12,Ranch17,_F7,Ranch17_F7,-0.0125928,-0.0332949
10039,N10039,2017,856,350,4.325516,12,Ranch17,_F7,Ranch17_F7,-0.00407325,-0.0207627
10040,N10040,2017,654,390,5.923205,12,Ranch17,_F7,Ranch17_F7,-0.00485386,-0.023717
10041,N10041,2017,798,410,5.842417,12,Ranch17,_F7,Ranch17_F7,-0.00816458,-0.0256888
10042,N10042,2017,803,410,4.410556,12,Ranch17,_F7,Ranch17_F7,-0.00732682,-0.0298741
10043,N10043,2017,-999,370,6.333523,12,Ranch17,_F7,Ranch17_F7,-0.00398288,-0.0100234
10044,N10044,2017,821,530,3.948151,14,Ranch2,_7586,Ranch2_7586,-0.00428838,-0.0318557
10045,N10045,2017,798,450,6.027379,3,Ranch11,_7586,Ranch11_7586,0.00785737,-0.0309983
10046,N10046,2017,921,420,5.197176,12,Ranch17,_F7,Ranch17_F7,-0.0101179,-0.0425566
10047,N10047,2017,750,510,4.199019,12,Ranch17,_F7,Ranch17_F7,-0.00649814,-0.044916
10048,N10048,2017,857,360,5.557533,14,Ranch2,_7586,Ranch2_7586,-0.000739209,-0.0323684
10049,N10049,2017,928,370,7.004276,3,Ranch11,_7586,Ranch11_7586,0.0112415,-0.0715988
10050,N10050,2017,737,390,5.509698,12,Ranch17,_F7,Ranch17_F7,-0.0102552,-0.0300577
10051,N10051,2017,769,740,4.167129,12,Ranch17,_F7,Ranch17_F7,0.000533683,0.0380375
10052,N10052,2017,901,390,7.560225,3,Ranch11,_7586,Ranch11_7586,0.0131959,-0.0359982
10053,N10053,2017,779,410,5.094065,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00718565,0.0102813
10054,N10054,2017,854,480,4.590203,23,Ranch5,_7596,Ranch5_7596,-0.00667818,-0.0103697
10055,N10055,2017,813,280,4.797488,3,Ranch11,_7586,Ranch11_7586,0.0096198,-0.029347
10056,N10056,2017,757,550,4.592329,12,Ranch17,_F7,Ranch17_F7,-0.0101247,-0.0157396
10057,N10057,2017,967,580,4.927174,12,Ranch17,_F7,Ranch17_F7,-0.0131397,-0.0201139
10058,N10058,2017,850,450,5.303476,12,Ranch17,_F7,Ranch17_F7,-0.0111429,-0.0307168
10059,N10059,2017,748,460,4.829378,12,Ranch17,_F7,Ranch17_F7,-0.00403324,-0.0201577
10060,N10060,2017,896,380,5.041978,12,Ranch17,_F7,Ranch17_F7,-0.0123691,-0.0319848
10061,N10061,2017,1031,420,4.653983,12,Ranch17,_F7,Ranch17_F7,-0.0082671,-0.0392156
10062,N10062,2017,-999,410,4.681621,12,Ranch17,_F7,Ranch17_F7,-0.0111539,-0.02071
10063,N10063,2017,772,510,5.147215,12,Ranch17,_F7,Ranch17_F7,-0.010895,-0.0454686
10064,N10064,2017,1043,250,5.197176,14,Ranch2,_7586,Ranch2_7586,0.000592302,-0.025736
10065,N10065,2017,764,420,5.724424,3,Ranch11,_7586,Ranch11_7586,0.0125612,-0.0381002
10066,N10066,2017,694,390,6.467461,12,Ranch17,_F7,Ranch17_F7,-0.0149266,-0.0307781
10067,N10067,2017,796,550,4.456265,25,Ranch6,_7556,Ranch6_7556,-0.00622286,0.012842
10068,N10068,2017,960,510,4.414808,25,Ranch6,_7556,Ranch6_7556,-0.00662337,0.0564293
10069,N10069,2017,865,510,4.864457,25,Ranch6,_7556,Ranch6_7556,0.00101006,0.0570943
10070,N10070,2017,867,710,5.366193,25,Ranch6,_7556,Ranch6_7556,-0.0056565,0.0567032
10071,N10071,2017,729,390,4.726267,25,Ranch6,_7556,Ranch6_7556,9.91455E-05,-0.00291317
