UFID_Corrected,YEAR,hcw,CG,Ranch,LOT,RanchLOT,PC1,PC2
2822,2016,817,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00931376,0.0249876
2827,2016,718,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00549606,0.0397782
2834,2016,702,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00174075,0.0248699
2836,2016,753,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.000797969,0.0153634
2837,2016,718,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.000410747,0.000744893
2843,2016,808,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0111365,0.0533234
2853,2016,805,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00454785,0.00503196
2862,2016,801,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00593136,0.0478892
2876,2016,695,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00699577,0.044198
2883,2016,666,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00230139,0.0172285
2893,2016,701,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00288783,0.00485655
N10001,2017,952,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00215953,-0.0255034
N10003,2017,958,35,Ranch12,_7586,Ranch12_7586,0.00179481,-0.0269237
N10005,2017,849,9,Ranch14,_7596,Ranch14_7596,-0.00475187,0.036073
N10006,2017,724,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0106102,0.00273726
N10007,2017,844,14,Ranch2,_7586,Ranch2_7586,-0.011786,-0.0173355
N10008,2017,741,15,Ranch2,_7596,Ranch2_7596,0.0159771,0.0492118
N10009,2017,805,3,Ranch11,_7586,Ranch11_7586,0.0140884,-0.0678559
N10011,2017,756,15,Ranch2,_7596,Ranch2_7596,0.0206958,0.0432989
N10012,2017,718,15,Ranch2,_7596,Ranch2_7596,-0.00208717,-0.00539088
N10013,2017,862,14,Ranch2,_7586,Ranch2_7586,-0.00642995,0.00693503
N10014,2017,685,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00695155,-0.027419
N10016,2017,809,9,Ranch14,_7596,Ranch14_7596,-0.00975984,-0.00433753
N10017,2017,806,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00190748,0.0112091
N10018,2017,866,35,Ranch12,_7586,Ranch12_7586,-0.000805473,-0.0291788
N10019,2017,859,35,Ranch12,_7586,Ranch12_7586,0.000425189,-0.0150774
N10020,2017,886,35,Ranch12,_7586,Ranch12_7586,-0.00326967,-0.0158614
N10021,2017,896,35,Ranch12,_7586,Ranch12_7586,-0.00617128,-0.0267256
N10022,2017,765,12,Ranch17,_F7,Ranch17_F7,-0.00445534,-0.0412943
N10023,2017,856,12,Ranch17,_F7,Ranch17_F7,-0.00924034,-0.0254221
N10024,2017,918,14,Ranch2,_7586,Ranch2_7586,0.00646205,-0.0139618
N10025,2017,921,12,Ranch17,_F7,Ranch17_F7,-0.00667939,-0.0227214
N10026,2017,767,12,Ranch17,_F7,Ranch17_F7,-0.00766407,-0.00281013
N10027,2017,910,12,Ranch17,_F7,Ranch17_F7,-0.00126464,-0.0206441
N10028,2017,779,12,Ranch17,_F7,Ranch17_F7,0.000701844,-0.0249291
N10029,2017,845,12,Ranch17,_F7,Ranch17_F7,-0.0104289,-0.0258235
N10030,2017,735,12,Ranch17,_F7,Ranch17_F7,-0.0107468,-0.00599602
N10031,2017,881,12,Ranch17,_F7,Ranch17_F7,-0.00813985,-0.0249486
N10032,2017,742,12,Ranch17,_F7,Ranch17_F7,-0.0107308,-0.0120934
N10033,2017,779,12,Ranch17,_F7,Ranch17_F7,-0.00886888,-0.00633535
N10034,2017,825,14,Ranch2,_7586,Ranch2_7586,-0.0146614,0.00152462
N10035,2017,862,35,Ranch12,_7586,Ranch12_7586,-0.00489733,-0.0239624
N10036,2017,687,12,Ranch17,_F7,Ranch17_F7,-0.00797058,-0.0266265
N10037,2017,770,12,Ranch17,_F7,Ranch17_F7,-0.0114888,-0.0282967
N10038,2017,868,12,Ranch17,_F7,Ranch17_F7,-0.0125928,-0.0332949
N10039,2017,856,12,Ranch17,_F7,Ranch17_F7,-0.00407325,-0.0207627
N10040,2017,654,12,Ranch17,_F7,Ranch17_F7,-0.00485386,-0.023717
N10041,2017,798,12,Ranch17,_F7,Ranch17_F7,-0.00816458,-0.0256888
N10042,2017,803,12,Ranch17,_F7,Ranch17_F7,-0.00732682,-0.0298741
N10044,2017,821,14,Ranch2,_7586,Ranch2_7586,-0.00428838,-0.0318557
N10045,2017,798,3,Ranch11,_7586,Ranch11_7586,0.00785737,-0.0309983
N10046,2017,921,12,Ranch17,_F7,Ranch17_F7,-0.0101179,-0.0425566
N10047,2017,750,12,Ranch17,_F7,Ranch17_F7,-0.00649814,-0.044916
N10048,2017,857,14,Ranch2,_7586,Ranch2_7586,-0.000739209,-0.0323684
N10049,2017,928,3,Ranch11,_7586,Ranch11_7586,0.0112415,-0.0715988
