UFID_Corrected,YEAR,Marbling,CG,Ranch,LOT,RanchLOT,PC1,PC2
N40038,2017,340,1,Ranch1,_77146,Ranch1_77146,-0.00681959,0.0772704
N40039,2017,410,1,Ranch1,_77146,Ranch1_77146,-0.00413957,0.0649345
N40040,2017,460,1,Ranch1,_77146,Ranch1_77146,-0.00524269,-0.0282345
N40042,2017,520,1,Ranch1,_77146,Ranch1_77146,-0.0110874,0.0354756
N40043,2017,410,1,Ranch1,_77146,Ranch1_77146,-0.00766192,0.0727109
N40044,2017,510,1,Ranch1,_77146,Ranch1_77146,-0.00934902,0.0510624
N40045,2017,750,1,Ranch1,_77146,Ranch1_77146,-0.0106054,0.045794
N40046,2017,420,1,Ranch1,_77146,Ranch1_77146,-0.00189667,-0.0299403
N40047,2017,370,1,Ranch1,_77146,Ranch1_77146,0.00873179,0.00226165
N40048,2017,410,1,Ranch1,_77146,Ranch1_77146,-0.00665777,-0.0386971
N40049,2017,510,1,Ranch1,_77146,Ranch1_77146,0.000295079,0.0526755
N40050,2017,410,1,Ranch1,_77146,Ranch1_77146,-0.0106217,0.0559016
N40051,2017,360,1,Ranch1,_77146,Ranch1_77146,-0.00697684,-0.0277331
N40052,2017,420,1,Ranch1,_77146,Ranch1_77146,-0.00294074,-0.0419297
N40053,2017,280,1,Ranch1,_77146,Ranch1_77146,-0.0115369,-0.0371131
N40054,2017,310,1,Ranch1,_77146,Ranch1_77146,-0.00485708,0.0756714
N40055,2017,420,1,Ranch1,_77146,Ranch1_77146,-0.0076502,0.0611575
N40057,2017,410,1,Ranch1,_77146,Ranch1_77146,-0.00575935,0.0603343
N40058,2017,410,1,Ranch1,_77146,Ranch1_77146,0.00584879,0.0227459
N40059,2017,410,23,Ranch5,_7596,Ranch5_7596,-0.00207837,-0.00722033
