UFID_Corrected,YEAR,Marbling,CG,Ranch,LOT,RanchLOT,PC1,PC2
N20001,2017,510,9,Ranch14,_7596,Ranch14_7596,0.00631616,0.0323177
N20002,2017,510,15,Ranch2,_7596,Ranch2_7596,-0.00155512,-0.0320991
N20003,2017,380,15,Ranch2,_7596,Ranch2_7596,-0.000104694,-0.000759448
N20004,2017,410,15,Ranch2,_7596,Ranch2_7596,0.00876696,0.0386732
N20005,2017,410,15,Ranch2,_7596,Ranch2_7596,0.0104918,-0.0445945
N20006,2017,570,15,Ranch2,_7596,Ranch2_7596,-0.0145469,-0.0393507
N20007,2017,560,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00924623,-0.0159515
N20008,2017,420,9,Ranch14,_7596,Ranch14_7596,0.00500649,0.0255925
N20009,2017,560,15,Ranch2,_7596,Ranch2_7596,-0.00365768,-0.0146733
N20011,2017,410,23,Ranch5,_7596,Ranch5_7596,0.00414772,0.0432318
N20012,2017,490,9,Ranch14,_7596,Ranch14_7596,0.000772103,0.0273658
N20013,2017,520,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00455938,0.0158876
N20014,2017,480,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0070636,0.0482906
N20015,2017,380,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00210622,-0.0117559
N20016,2017,370,15,Ranch2,_7596,Ranch2_7596,-0.00443819,-0.00344092
N20017,2017,380,15,Ranch2,_7596,Ranch2_7596,0.391953,-0.00904819
N20018,2017,580,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00110135,0.0120354
N20020,2017,360,15,Ranch2,_7596,Ranch2_7596,0.00705033,0.0353356
N20021,2017,360,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.000612867,0.00258297
N20022,2017,390,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00288367,-0.00755477
N20023,2017,430,23,Ranch5,_7596,Ranch5_7596,0.00930524,-0.0101066
N20024,2017,410,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00264057,0.00113881
N20026,2017,430,15,Ranch2,_7596,Ranch2_7596,0.00886069,0.047992
N20027,2017,370,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00525275,-0.00427876
N20028,2017,380,23,Ranch5,_7596,Ranch5_7596,-0.00403563,0.0128255
N20029,2017,370,15,Ranch2,_7596,Ranch2_7596,0.0260453,0.026839
N20030,2017,360,15,Ranch2,_7596,Ranch2_7596,-0.00248892,0.0493921
N20031,2017,430,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00232008,0.0201842
